[12/15 18:58:25] bcn-ac INFO: Full config saved to ./output/mlp-anet-infer\train_val_3d.config.json
[12/15 18:58:26] bcn-ac INFO: Missing keys: []
[12/15 18:58:26] bcn-ac INFO: Unexpect keys: []
[12/15 18:58:26] bcn-ac INFO: ==> loaded checkpoint './weights/ckpt_epoch_32.pth'
[12/15 18:58:26] bcn-ac INFO: MLP_Net(
  (linear1): Linear(in_features=4096, out_features=2048, bias=True)
  (bn1): BatchNorm1d(2048, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu1): ReLU(inplace=True)
  (linear2): Linear(in_features=2048, out_features=2048, bias=True)
  (bn2): BatchNorm1d(2048, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (relu2): ReLU(inplace=True)
  (drop): Dropout(p=0.7, inplace=False)
  (fc): Linear(in_features=2048, out_features=200, bias=True)
)
[12/15 18:58:26] bcn-ac INFO: ==> Begin Validating, clip stride: -1, val video clip num 4926
[12/15 18:58:33] bcn-ac INFO: 159/4926, top1: 0.9308, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 160/4926, top1: 0.9313, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 161/4926, top1: 0.9317, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 162/4926, top1: 0.9321, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 163/4926, top1: 0.9325, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 164/4926, top1: 0.9329, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 165/4926, top1: 0.9333, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 166/4926, top1: 0.9277, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 167/4926, top1: 0.9281, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 168/4926, top1: 0.9286, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 169/4926, top1: 0.9290, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 170/4926, top1: 0.9294, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 171/4926, top1: 0.9298, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 172/4926, top1: 0.9302, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 173/4926, top1: 0.9306, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 174/4926, top1: 0.9310, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 175/4926, top1: 0.9314, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 176/4926, top1: 0.9318, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 177/4926, top1: 0.9322, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 178/4926, top1: 0.9326, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 179/4926, top1: 0.9330, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 180/4926, top1: 0.9333, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 181/4926, top1: 0.9337, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 182/4926, top1: 0.9341, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 183/4926, top1: 0.9344, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 184/4926, top1: 0.9348, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 185/4926, top1: 0.9351, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 186/4926, top1: 0.9355, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 187/4926, top1: 0.9358, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 188/4926, top1: 0.9362, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 189/4926, top1: 0.9365, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 190/4926, top1: 0.9368, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 191/4926, top1: 0.9372, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 192/4926, top1: 0.9375, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 193/4926, top1: 0.9378, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 194/4926, top1: 0.9381, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 195/4926, top1: 0.9385, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 196/4926, top1: 0.9388, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 197/4926, top1: 0.9391, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 198/4926, top1: 0.9394, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 199/4926, top1: 0.9397, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 200/4926, top1: 0.9400, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 201/4926, top1: 0.9403, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 202/4926, top1: 0.9406, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 203/4926, top1: 0.9409, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 204/4926, top1: 0.9412, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 205/4926, top1: 0.9415, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 206/4926, top1: 0.9417, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 207/4926, top1: 0.9420, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 208/4926, top1: 0.9423, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 209/4926, top1: 0.9426, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 210/4926, top1: 0.9429, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 211/4926, top1: 0.9431, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 212/4926, top1: 0.9434, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 213/4926, top1: 0.9437, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 214/4926, top1: 0.9439, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 215/4926, top1: 0.9442, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 216/4926, top1: 0.9444, top3: 1.0000, top5: 1.0000
[12/15 18:58:33] bcn-ac INFO: 217/4926, top1: 0.9447, top3: 1.0000, top5: 1.0000
[12/15 18:58:34] bcn-ac INFO: 218/4926, top1: 0.9450, top3: 1.0000, top5: 1.0000
[12/15 18:58:34] bcn-ac INFO: 219/4926, top1: 0.9452, top3: 1.0000, top5: 1.0000
[12/15 18:58:34] bcn-ac INFO: 220/4926, top1: 0.9455, top3: 1.0000, top5: 1.0000
[12/15 18:58:34] bcn-ac INFO: 221/4926, top1: 0.9457, top3: 1.0000, top5: 1.0000
[12/15 18:58:34] bcn-ac INFO: 222/4926, top1: 0.9459, top3: 1.0000, top5: 1.0000
[12/15 18:58:34] bcn-ac INFO: 223/4926, top1: 0.9462, top3: 1.0000, top5: 1.0000
[12/15 18:58:34] bcn-ac INFO: 224/4926, top1: 0.9464, top3: 1.0000, top5: 1.0000
[12/15 18:58:34] bcn-ac INFO: 225/4926, top1: 0.9467, top3: 1.0000, top5: 1.0000
[12/15 18:58:34] bcn-ac INFO: 226/4926, top1: 0.9469, top3: 1.0000, top5: 1.0000
[12/15 18:58:34] bcn-ac INFO: 227/4926, top1: 0.9471, top3: 1.0000, top5: 1.0000
